Match Date,Home Team,Away Team,Home Score,Away Score,Result
2024-10-21,Team A, Team C ,1,2,AWAY WIN
2024/07/24, Team A ,team c,0,4,away win
2024/12/21, Team E , Team B ,3,2,Home Win
2024/12/30, Team E ,Team C,1,5,Away Win
2024-07-26,Team E, Team D ,0,1,away win
2024-11-21,team c,team d,0,1,AWAY WIN
11-06-2024,TEAM D, Team C ,4,1,HOME WIN
2024-05-30,TEAM C,Team A,4,3,Home Win
2024/12/25, Team A ,TEAM C,2,1,home win
2024-03-12, Team D ,TEAM E,4,1,home win
2024-11-27,team d, Team B ,5,0,Home Win
05-11-2024,team d, Team B ,5,3,HOME WIN
2024/08/05,Team E, Team D ,3,1,Home Win
17-10-2024,TEAM B,Team C,4,0,Home Win
23-05-2024,Team E,Team D,0,5,AWAY WIN
2024/11/20,TEAM B,Team D,5,0,HOME WIN
18-06-2024,TEAM C,TEAM A,4,4,DRAW
15-10-2024,Team C, Team B ,,5,Draw
14-01-2024, Team E ,Team B,5,5,DRAW
20-05-2024,Team B,Team A,2,4,away win
30-03-2024,team e, Team B ,5,3,home win
10-09-2024, Team B ,team a,0,4,Away Win
2024-05-15,Team D,team b,5,0,HOME WIN
2024/07/13, Team D , Team E ,3,4,Away Win
2024/07/14,TEAM C,Team B,3,,
20-06-2024,TEAM A,Team C,3,5,away win
2024-10-28,TEAM C,team d,5,5,DRAW
2024-09-25, Team C ,TEAM A,0,,Home Win
2024/01/30,team b,Team C,0,,Home Win
2024-04-04,team a,TEAM E,1,5,AWAY WIN
2024/12/20,TEAM C,TEAM D,0,2,away win
12-05-2024,team b, Team A ,0,2,Away Win
2024-09-08,team a, Team D ,1,1,DRAW
2024/02/06,TEAM B, Team A ,5,0,Home Win
06-12-2024,TEAM A,team d,5,,Home Win
11-08-2024,Team C,team d,4,3,home win
2024/06/19,TEAM A, Team D ,3,4,away win
2024-11-27,team a,Team E,2,3,away win
02-07-2024,Team D, Team B ,3,5,AWAY WIN
07-09-2024,Team B,TEAM E,,,Away Win
2024/06/21,Team D, Team E ,0,,Home Win
2024/03/17,team a,Team B,5,5,DRAW
2024/05/04,team a,Team B,0,4,Away Win
2024-02-02,Team B, Team A ,0,1,AWAY WIN
2024-06-15,team e,TEAM B,Two,5,
2024-07-31,TEAM B,team a,2,Three,Away Win
2024-07-11,Team D, Team B ,0,5,AWAY WIN
2024/08/01, Team A ,team e,,5,Draw
2024/11/08,Team B,team e,4,1,Home Win
2024-04-30,Team D,Team A,2,0,HOME WIN
2024-12-03,TEAM E,Team C,4,3,HOME WIN
2024-03-31,Team B,Team A,5,3,home win
2024/02/23,Team C,team e,2,3,Away Win
2024/10/30,TEAM B, Team A ,0,Two,
2024-07-30, Team B ,team c,0,0,Draw
08-11-2024,team a, Team D ,0,1,Away Win
2024-06-20,Team C,Team B,1,2,Away Win
22-04-2024,team c,team b,3,1,home win
30-08-2024,TEAM E,Team B,4,1,HOME WIN
2024-10-20, Team D ,Team B,3,4,Away Win
2024/09/02,Team A, Team D ,4,,
08-03-2024,TEAM D,team b,0,3,Away Win
2024-10-25, Team A , Team E ,2,3,AWAY WIN
2024/01/01,Team B, Team D ,2,5,AWAY WIN
2024-10-21,Team C,TEAM A,2,4,AWAY WIN
21-01-2024,TEAM A,team c,0,3,AWAY WIN
2024-10-03, Team E ,team a,1,2,Away Win
2024-01-28,TEAM B,TEAM C,2,3,away win
29-09-2024, Team D ,TEAM E,0,4,AWAY WIN
2024-05-27,Team A,team b,3,3,Draw
2024-11-17,TEAM C, Team A ,3,1,HOME WIN
2024-05-29,Team E,Team B,3,5,Away Win
2024/10/30, Team B , Team C ,2,2,draw
04-09-2024,TEAM C,Team B,2,2,Draw
01-10-2024,team b,team c,1,1,DRAW
13-08-2024,TEAM B,team e,0,4,Away Win
2024/03/24,TEAM B,Team A,2,3,AWAY WIN
2024/01/03,TEAM A,TEAM D,1,2,Away Win
14-08-2024,Team D, Team C ,4,4,DRAW
22-04-2024,TEAM A,Team B,0,3,AWAY WIN
2024-04-10,Team C, Team A ,1,1,draw
07-12-2024, Team A ,team d,2,4,Away Win
2024/08/16,Team D,team c,0,2,away win
2024-07-31,Team D,team e,2,5,away win
2024-07-11,Team B, Team C ,4,0,HOME WIN
05-04-2024,TEAM C, Team D ,3,1,Home Win
2024-04-24,Team A,team c,2,5,away win
27-05-2024,team c, Team E ,5,5,DRAW
2024/07/04, Team B , Team A ,2,0,HOME WIN
09-01-2024,team c,Team D,0,5,AWAY WIN
19-05-2024, Team B ,TEAM C,5,1,Home Win
2024-11-17,Team A,team c,5,4,Home Win
2024/12/23,TEAM E,Team C,5,2,HOME WIN
05-09-2024,TEAM E,team c,0,2,away win
2024/12/19,Team A, Team B ,1,4,AWAY WIN
2024/06/08,TEAM D,team a,1,3,away win
2024-04-23,team d,team c,2,,Home Win
10-01-2024, Team C ,Team B,0,0,Draw
2024-08-28,TEAM B,Team A,,4,Home Win
2024-10-27,team a,TEAM C,0,4,Away Win
2024-06-29,team a,Team E,5,4,home win
2024-10-02,Team A,team e,5,2,Home Win
02-04-2024, Team E , Team D ,4,5,Away Win
10-03-2024,TEAM B,TEAM E,2,0,HOME WIN
2024/11/03,TEAM E, Team A ,3,2,home win
13-12-2024,team b,Team D,3,0,home win
14-03-2024, Team D ,Team A,4,0,Home Win
2024-03-03, Team B , Team A ,1,4,away win
2024/12/07, Team C , Team E ,5,2,home win
2024-09-11,team e,Team C,3,2,home win
2024/11/05,TEAM A,team e,3,1,home win
13-04-2024, Team C , Team A ,5,3,home win
01-03-2024, Team E ,TEAM C,4,0,home win
2024-12-27, Team D , Team E ,0,5,away win
2024/09/08, Team B , Team C ,3,4,AWAY WIN
2024/11/11,TEAM E,TEAM B,3,4,away win
2024/06/27,Team C,TEAM A,,,Draw
2024-05-05,team d,TEAM A,2,0,HOME WIN
2024-03-27,TEAM E,Team A,0,0,draw
2024-10-28,TEAM D, Team E ,3,5,away win
2024-12-11,TEAM E, Team D ,0,0,DRAW
2024/09/11,Team E,team c,2,3,Away Win
2024/11/15,Team C,Team E,,3,Away Win
17-04-2024,Team E,TEAM C,4,3,home win
2024/05/08, Team E ,team c,4,3,home win
2024/05/17, Team A ,Team B,1,5,away win
02-06-2024, Team E ,TEAM B,1,5,AWAY WIN
2024/05/11,team a, Team B ,2,5,Away Win
2024/09/05, Team B , Team A ,0,2,away win
2024/12/03,team a,Team B,1,,Draw
27-07-2024,Team D, Team A ,Two,2,Home Win
2024/12/06,TEAM B, Team E ,5,0,HOME WIN
2024/07/18,team a, Team B ,2,4,AWAY WIN
2024/05/10,Team B, Team E ,1,3,away win
2024-12-15,TEAM E,team c,0,3,away win
2024-12-05,team c,TEAM D,2,,Home Win
2024-09-30, Team E , Team D ,5,5,Draw
2024-04-17, Team A ,TEAM D,2,1,home win
30-07-2024, Team D ,Team A,0,3,away win
16-06-2024,Team B,Team C,2,5,AWAY WIN
17-11-2024,TEAM B,Team D,1,,Away Win
2024/10/31, Team A ,TEAM B,5,5,Draw
16-06-2024,team d,Team E,1,5,AWAY WIN
2024-01-11,team d,Team C,3,4,Away Win
03-11-2024,team d,Team B,1,,
2024/08/20, Team C ,Team B,0,,
07-03-2024,team b,team e,2,3,away win
2024-05-14, Team C ,team b,3,0,home win
2024/07/22,team c, Team D ,3,2,HOME WIN
2024/06/30,Team D,Team C,Two,Two,
2024/01/22,team c,TEAM D,3,1,HOME WIN
28-09-2024,team b,TEAM D,3,2,HOME WIN
08-08-2024,TEAM A,TEAM C,,2,Draw
2024/10/11, Team E ,Team C,1,3,Away Win
2024/03/24, Team B , Team E ,Two,,Draw
22-08-2024,Team A,team d,,5,
17-09-2024,team a,Team C,2,1,HOME WIN
18-02-2024,Team E,TEAM B,0,3,AWAY WIN
11-02-2024, Team A , Team D ,0,1,Away Win
2024-10-18,team c,Team A,0,3,away win
23-07-2024,team c,team e,5,Three,Home Win
2024/05/25,team d,Team A,,3,
2024-11-04,TEAM C,Team D,5,2,HOME WIN
2024-08-04, Team C ,TEAM B,3,4,AWAY WIN
2024/08/25,team e,team b,3,4,away win
2024-03-17,TEAM D,team a,3,Three,Draw
2024/02/25, Team E , Team D ,0,0,DRAW
2024-10-26,Team A,Team D,4,2,home win
26-12-2024,TEAM D, Team B ,3,,
05-11-2024,Team D, Team C ,1,0,HOME WIN
2024/08/23, Team E , Team A ,,1,
2024-03-05,Team C,team e,5,2,Home Win
2024-11-28,team a, Team E ,1,1,draw
2024-02-29,team e, Team B ,3,3,Draw
2024/05/30, Team D ,Team E,,1,Away Win
2024/10/23,TEAM C,Team A,5,3,home win
2024/04/28,Team D,Team E,4,5,away win
29-02-2024,TEAM D, Team C ,2,3,away win
2024/04/28,team d,TEAM A,5,2,home win
2024/12/10,TEAM E, Team D ,2,3,away win
2024-03-29,team b, Team E ,5,3,Home Win
2024-01-25,TEAM A,TEAM D,3,1,HOME WIN
21-06-2024,Team C,team b,4,,Home Win
2024-05-16,Team A,Team B,2,0,HOME WIN
2024/02/22,Team D,Team E,0,4,AWAY WIN
2024/08/14, Team B ,Team A,2,2,DRAW
2024-07-31,team b, Team C ,1,1,draw
2024/07/03,team c,team e,0,5,away win
2024/08/22,TEAM E,Team D,1,3,away win
22-06-2024, Team D ,team b,5,0,Home Win
2024-10-21,TEAM D, Team A ,0,5,Away Win
2024/09/27,team d, Team C ,2,0,home win
23-12-2024, Team D ,team b,4,5,away win
2024/09/23,TEAM C,team a,,5,Away Win
30-10-2024,team a,TEAM C,5,0,HOME WIN
2024-03-04,Team D, Team A ,2,4,away win
2024/12/31,team c,TEAM A,1,4,AWAY WIN
2024/07/12,team c,Team E,5,1,HOME WIN
05-08-2024,Team C,Team B,2,1,HOME WIN
2024/12/12, Team A , Team D ,3,0,home win
2024-08-01,team c,team d,3,3,DRAW
2024-12-21, Team D , Team E ,5,4,Home Win
2024-07-28,Team A,TEAM B,2,0,HOME WIN
10-07-2024,TEAM E, Team C ,,2,Draw
2024-04-20, Team A ,Team B,4,2,home win
16-10-2024,TEAM A, Team C ,Two,4,Draw
2024-08-17,TEAM D,Team B,4,3,HOME WIN
2024/08/14,TEAM E,Team D,3,0,HOME WIN
2024/11/25,Team B,team a,5,5,Draw
2024-01-10,team e,Team A,4,3,HOME WIN
2024/02/13,TEAM C, Team B ,5,4,home win
2024/01/13,TEAM E, Team A ,0,1,away win
03-04-2024,Team C,team a,0,2,Away Win
2024/01/14,Team C,TEAM D,0,2,Away Win
2024-03-02,team d,team a,3,2,home win
01-02-2024, Team E , Team B ,4,0,home win
2024/10/10,Team A,team d,,0,Draw
2024-04-14,TEAM E,team b,3,5,AWAY WIN
13-11-2024,team b,Team D,4,0,home win
2024-11-19,TEAM A,Team D,2,3,away win
11-10-2024, Team B ,team a,3,1,HOME WIN
2024-05-19,TEAM E,TEAM C,2,5,away win
2024-11-26, Team B ,Team D,2,,Away Win
2024/02/11,Team A,Team B,5,3,HOME WIN
2024/03/31,Team D,Team A,3,2,home win
2024/05/23,TEAM D,team c,3,,Home Win
19-01-2024, Team A ,team c,1,3,away win
13-09-2024,team a,team b,5,2,HOME WIN
2024-10-18,TEAM E,team b,Two,1,Draw
2024/11/24,Team A,TEAM C,3,,
2024-09-21,team d,Team E,5,3,home win
2024-06-20,Team C,team d,2,,Away Win
2024/11/16,Team D,Team A,1,2,Away Win
2024-05-06, Team D ,team e,4,2,home win
13-11-2024,Team C, Team A ,4,0,HOME WIN
2024-12-21,team e,Team A,0,3,away win
2024/01/29,Team D,TEAM A,5,0,HOME WIN
2024-11-15, Team D , Team E ,3,4,AWAY WIN
14-01-2024,TEAM D,team e,4,5,AWAY WIN
2024-10-20,TEAM A,TEAM E,,4,Away Win
2024-01-31,TEAM D, Team E ,3,1,Home Win
2024/06/07,TEAM E,TEAM C,4,1,home win
2024/09/16,Team C, Team A ,5,0,Home Win
2024/04/06, Team C , Team B ,5,0,home win
02-08-2024,team e,Team C,4,4,draw
2024/08/26,team d,team a,0,5,Away Win
2024-07-04,Team D,TEAM C,3,1,Home Win
2024-01-23,team a,team e,3,4,away win
2024-05-05,team c,Team B,2,2,DRAW
2024-12-01,TEAM B,team c,0,1,away win
2024/08/10,Team C,Team D,2,4,AWAY WIN
2024/06/11, Team B ,team e,1,5,away win
2024/01/28,TEAM A,team b,2,2,Draw
2024-02-03, Team E ,TEAM D,0,5,AWAY WIN
10-09-2024,TEAM D, Team E ,5,5,draw
21-04-2024, Team E , Team A ,1,1,draw
13-02-2024, Team E ,TEAM B,2,0,Home Win
09-08-2024,TEAM B, Team A ,4,3,home win
08-02-2024,Team C,TEAM E,1,2,AWAY WIN
2024/01/20,team e,TEAM A,1,0,home win
2024/04/07,team b,TEAM C,5,5,draw
2024/10/23,Team A, Team C ,2,3,away win
2024-08-30, Team E , Team B ,1,5,Away Win
17-04-2024, Team C ,Team A,1,5,away win
2024/09/12,TEAM C,TEAM B,1,5,Away Win
02-06-2024,Team B,Team D,3,5,AWAY WIN
20-10-2024, Team B ,team e,2,4,AWAY WIN
2024/08/19,TEAM D,Team A,1,2,AWAY WIN
2024-01-14,team b,Team A,1,,
30-01-2024,Team D,team c,2,0,home win
05-02-2024,team c,team d,0,3,away win
21-10-2024,team b, Team C ,5,1,HOME WIN
2024-11-05,TEAM C, Team B ,,0,
2024/06/26,TEAM D, Team E ,5,5,draw
22-08-2024,team e,Team B,1,5,away win
2024/05/29,Team D,team a,1,5,AWAY WIN
2024/02/23,TEAM D, Team E ,4,2,Home Win
2024/02/07, Team D , Team B ,4,,Home Win
2024/02/28,team c,TEAM D,3,,Draw
2024-08-12, Team D ,TEAM E,0,1,AWAY WIN
2024/09/30, Team B ,team e,4,2,Home Win
2024-12-31,team a, Team E ,1,1,Draw
25-01-2024,team a,team e,2,4,Away Win
2024/04/08,Team C,team b,0,0,draw
2024/06/14,team a,team b,0,0,draw
2024-06-14,Team E, Team D ,0,0,draw
2024/11/28,TEAM C,Team A,3,5,away win
2024/10/01,team a,TEAM B,4,0,HOME WIN
2024-06-19,TEAM A, Team C ,5,5,Draw
2024/09/18,team a,Team C,,3,
2024/05/04,Team B,Team A,0,5,away win
2024-01-20, Team B ,TEAM C,1,1,DRAW
2024-05-27,team b,TEAM C,0,3,AWAY WIN
2024/12/17,team c, Team B ,0,5,Away Win
2024-02-05,Team E,team c,5,,
2024-09-16, Team B , Team E ,4,1,Home Win
04-06-2024, Team C ,team b,1,4,Away Win
13-08-2024, Team C ,team d,2,1,home win
2024-10-02,team d,TEAM A,3,2,HOME WIN
06-02-2024,team d, Team E ,2,4,away win
08-09-2024, Team B , Team E ,0,,Draw
2024-01-20, Team C ,team d,5,0,home win
2024/11/21,TEAM B,Team D,5,5,draw
2024/12/27,Team D,team e,1,2,AWAY WIN
2024-12-05,Team C,Team D,1,4,AWAY WIN
06-04-2024,team a, Team D ,4,0,HOME WIN
2024/06/06, Team C ,Team E,4,3,HOME WIN
23-12-2024,Team A,team c,2,5,away win
2024/05/27, Team D ,team a,5,3,HOME WIN
26-02-2024,team b,team c,1,1,DRAW
2024/11/16,Team B,team a,1,3,away win
2024-10-26, Team A , Team C ,0,2,Away Win
2024/04/18,Team A, Team E ,Two,0,Home Win
21-06-2024,TEAM E,TEAM C,3,4,away win
2024-02-21, Team B , Team C ,3,2,home win
07-07-2024, Team B , Team A ,4,5,Away Win
2024/01/24,TEAM B, Team A ,2,,Draw
2024/08/31,Team B, Team D ,4,2,home win
2024-01-17, Team C ,Team B,4,5,AWAY WIN
2024-10-03,team c,team d,3,3,DRAW
15-07-2024,team b,TEAM A,5,,Draw
20-12-2024,team d,Team A,4,3,Home Win
2024/11/24, Team C ,team d,5,3,HOME WIN
2024-10-30,Team B,TEAM C,0,2,AWAY WIN
2024/10/29,team b, Team C ,4,2,Home Win
2024/12/05,team d,Team C,5,1,HOME WIN
2024/09/12, Team D ,team a,3,2,Home Win
02-11-2024,TEAM E,Team C,5,5,Draw
31-01-2024,team c,team d,1,5,away win
2024/06/02,team b,Team A,1,5,away win
2024-07-19,TEAM E,TEAM D,5,2,home win
29-12-2024, Team B ,team d,2,4,Away Win
2024/04/21,team e,Team B,3,1,Home Win
2024-03-27,Team C,TEAM A,1,3,AWAY WIN
30-10-2024,team d, Team B ,0,5,away win
2024/03/29, Team B ,Team A,3,5,AWAY WIN
2024-02-29,Team D, Team E ,5,0,Home Win
2024/05/20,Team E,team b,,4,
20-02-2024,Team D,team e,5,4,Home Win
2024/02/02,Team D,team a,4,4,draw
2024-06-09,Team A,team b,5,4,home win
2024/03/04,TEAM E,TEAM B,0,0,Draw
2024/01/24,TEAM E, Team B ,5,,Draw
2024/10/02,team b,Team D,4,2,HOME WIN
2024/11/04,team a,TEAM B,,1,Away Win
2024/07/14,team c, Team B ,3,Three,Draw
2024-10-01,Team D,TEAM A,5,5,Draw
2024-08-02,TEAM B, Team C ,5,4,Home Win
2024/12/16, Team D ,Team A,1,Two,Home Win
2024-05-20,Team C, Team A ,2,1,Home Win
28-10-2024,Team B,TEAM D,0,5,away win
11-06-2024,team e,TEAM C,4,0,Home Win
2024-12-31,team e,team d,1,5,AWAY WIN
27-12-2024,team d, Team C ,Three,1,
27-04-2024,Team C,TEAM D,2,4,AWAY WIN
2024/03/25,Team D,Team C,5,Two,Home Win
2024/09/17,team c, Team D ,0,3,AWAY WIN
31-12-2024,TEAM D,team a,4,5,Away Win
2024-03-30,TEAM E,team a,1,4,Away Win
27-02-2024,team e,Team C,3,1,home win
18-10-2024,team c,TEAM E,2,5,AWAY WIN
2024/01/04, Team E ,TEAM A,4,0,home win
2024-06-30,Team C, Team E ,2,1,home win
2024-09-06,team d,TEAM B,4,3,Home Win
2024-05-17, Team B , Team D ,2,1,HOME WIN
2024-02-26,TEAM B,Team E,3,,Away Win
11-04-2024,TEAM B,Team D,2,1,HOME WIN
2024/09/13, Team D ,team e,5,2,home win
2024-12-16,Team A,TEAM E,1,4,Away Win
2024/05/06,team d,team a,2,0,home win
2024-08-07, Team B ,Team C,2,1,HOME WIN
2024-03-02, Team E ,Team B,4,1,Home Win
2024-02-16, Team C , Team B ,3,,Away Win
2024/02/01, Team E ,Team C,1,3,away win
06-05-2024,Team C,team a,2,5,away win
2024-11-06, Team A ,team e,Three,3,Draw
2024/12/15,team c,TEAM D,2,5,Away Win
28-11-2024,team c, Team E ,4,2,Home Win
2024-12-01,team a, Team E ,5,0,HOME WIN
2024/04/13,team a,Team E,4,5,away win
06-07-2024,Team B, Team E ,5,4,home win
2024/05/20,team a,TEAM D,4,1,HOME WIN
2024/12/16,Team A,team e,5,3,home win
2024-04-04,team d,team e,3,2,Home Win
25-09-2024,TEAM E,team a,4,5,AWAY WIN
2024-05-29,team c,TEAM E,1,4,Away Win
2024-09-30,Team B,TEAM C,0,1,Away Win
09-03-2024,TEAM E,TEAM C,5,2,HOME WIN
2024-05-11,Team A, Team E ,1,2,Away Win
18-11-2024,team c, Team B ,1,1,DRAW
2024-04-04,team b, Team D ,3,1,home win
2024/12/17,team b,Team C,,1,
2024-09-26,Team B,Team A,3,3,Draw
2024-03-08,Team D,TEAM E,,5,Home Win
2024/06/22,Team B,team a,0,0,DRAW
2024-09-02,team b,Team D,3,2,home win
2024/02/22,TEAM E,Team C,0,,Home Win
2024-07-16,TEAM E,TEAM D,1,,
2024-03-27,team b,Team D,5,0,home win
2024-11-05,team c, Team E ,Three,0,Home Win
2024/06/03,TEAM E,TEAM C,5,5,DRAW
2024-02-09,team a,team c,5,2,HOME WIN
2024/02/27, Team C ,TEAM B,5,3,Home Win
12-06-2024, Team B , Team A ,1,3,away win
08-10-2024, Team D ,team c,5,3,home win
2024/04/22,Team D,team a,3,5,AWAY WIN
2024-02-26,TEAM C,TEAM A,0,3,Away Win
2024-04-17,Team B,team c,4,3,Home Win
2024/01/28,Team A,Team B,0,3,away win
2024-02-09, Team D ,team b,,0,Away Win
2024/07/29,TEAM B, Team D ,5,2,home win
2024/03/29,team a,Team C,0,0,DRAW
13-09-2024,team d, Team E ,3,2,HOME WIN
18-04-2024,Team B,team c,4,1,HOME WIN
27-08-2024,TEAM D, Team B ,4,0,HOME WIN
2024-02-25,Team D,TEAM B,Three,1,Draw
2024-02-03,Team E,TEAM C,,4,Home Win
2024-10-16, Team B ,Team E,0,0,DRAW
24-05-2024,team a,TEAM C,2,,Draw
2024-09-14,team d,Team C,5,2,home win
2024-08-25,Team E,team d,0,1,AWAY WIN
2024/11/07,TEAM B, Team E ,1,4,AWAY WIN
2024/12/30, Team B ,team c,4,3,Home Win
2024-01-08,TEAM B,Team A,4,3,Home Win
2024/05/23,TEAM D,TEAM A,1,1,Draw
2024/08/14,team a,Team E,3,3,draw
2024/11/13,team e, Team D ,,3,
2024-12-15,Team C,team e,5,3,home win
2024-07-23,team e, Team A ,0,1,AWAY WIN
2024-02-13,Team D, Team A ,3,3,Draw
2024/04/18, Team D ,Team B,0,4,away win
2024-11-23,TEAM C,Team D,,3,Away Win
2024-01-28,Team E, Team D ,Three,3,Away Win
11-02-2024, Team C , Team E ,0,2,away win
07-08-2024,TEAM E,team b,2,0,Home Win
22-12-2024,TEAM B, Team C ,3,5,Away Win
2024-01-08, Team A ,team b,Two,5,Draw
02-01-2024,team d, Team C ,5,4,HOME WIN
2024/12/22,team e, Team A ,,1,
08-07-2024,Team B,TEAM C,1,4,Away Win
29-06-2024, Team C ,TEAM A,5,3,home win
04-10-2024, Team A ,TEAM B,2,4,Away Win
2024-11-28, Team D ,Team C,0,0,Draw
28-05-2024,team d,team a,4,0,HOME WIN
2024/07/30, Team D ,Team E,3,2,home win
2024/07/31,team c,Team B,2,2,draw
2024-06-20, Team D ,team a,,2,Draw
2024-08-07, Team E ,team d,5,0,HOME WIN
2024-09-15, Team D ,TEAM C,3,5,Away Win
2024/01/06,team e,Team B,1,0,home win
2024/11/20,TEAM E,team a,0,1,away win
2024/05/13,Team B,TEAM E,4,5,away win
2024/08/23,Team A,Team B,5,0,Home Win
16-04-2024,Team B, Team C ,1,3,away win
2024/06/09, Team A ,team d,Two,3,
01-03-2024,TEAM B, Team C ,,4,Home Win
2024-11-06,Team E,team a,5,0,Home Win
2024-04-22,team b,TEAM C,1,,Away Win
30-05-2024, Team C , Team D ,0,4,AWAY WIN
23-05-2024,Team E,TEAM D,2,5,AWAY WIN
2024/11/01,TEAM B,TEAM E,3,3,draw
2024-11-19, Team E ,team a,3,2,home win
29-06-2024,Team A,Team C,2,5,AWAY WIN
02-12-2024,TEAM B,team c,1,0,Home Win
19-04-2024,TEAM C,team a,,5,Draw
14-10-2024,Team E, Team A ,4,1,Home Win
24-01-2024, Team D ,Team C,1,3,away win
11-01-2024,Team A,Team D,2,1,HOME WIN
2024/06/21,Team D,Team C,3,,Home Win
26-06-2024,Team D,TEAM A,3,2,home win
03-03-2024,Team D,Team A,5,3,HOME WIN
2024-08-11,team b,Team A,1,2,AWAY WIN
2024-05-12,Team B,Team C,4,5,Away Win
2024-12-23,team c, Team A ,5,3,home win
2024/08/16,Team A,team b,1,3,AWAY WIN
2024-04-25,TEAM E,TEAM D,2,5,away win
2024-12-21,Team A, Team C ,1,5,Away Win
2024-09-06,TEAM A,team b,,3,Away Win
2024-09-15,team e,team c,2,5,Away Win
05-02-2024, Team C ,team d,4,3,Home Win
2024-08-23,TEAM C,Team A,0,1,Away Win
2024-08-08,team d, Team E ,0,0,draw
2024/01/26, Team E , Team D ,0,2,Away Win
2024/09/09, Team B ,Team C,1,4,AWAY WIN
2024-05-16,Team A,Team B,1,0,HOME WIN
2024-02-21,TEAM C, Team B ,5,3,home win
2024/05/27,Team B,Team E,2,5,AWAY WIN
2024-02-05,team b,TEAM D,5,2,HOME WIN
31-03-2024,Team D,team b,5,2,Home Win
2024-08-29,Team A,Team C,4,,Away Win
21-02-2024,TEAM E, Team C ,4,1,Home Win
2024-08-22,TEAM D,TEAM C,2,2,draw
16-03-2024,team c,team d,5,5,Draw
2024-07-03,Team C,team d,,5,
30-03-2024,TEAM D,TEAM A,5,3,HOME WIN
2024/09/23,TEAM D,Team E,2,0,HOME WIN
2024-12-16, Team D ,team e,2,0,home win
03-02-2024,Team E, Team C ,5,3,home win
03-01-2024,TEAM A,Team B,4,3,home win
2024-10-14,Team A,TEAM C,2,4,AWAY WIN
2024-06-30, Team B , Team E ,0,0,draw
2024/08/11,TEAM D,team a,2,1,HOME WIN
2024/06/01, Team B ,team c,4,2,Home Win
2024/12/16,TEAM D, Team E ,4,2,HOME WIN
2024-08-03,team c,TEAM D,3,4,Away Win
2024-07-20, Team B ,Team C,4,2,Home Win
2024-10-31,TEAM D, Team E ,0,Two,Draw
2024/01/28,team c,team a,4,5,AWAY WIN
17-11-2024,Team E, Team D ,5,1,home win
2024-02-19,team e,Team B,0,0,DRAW
26-07-2024,team d,team a,3,0,home win
04-03-2024,team e,Team C,5,5,DRAW
2024/12/24,team b, Team E ,5,4,HOME WIN
07-12-2024, Team D , Team C ,0,3,away win
2024/03/02, Team A ,Team D,3,2,home win
22-01-2024,team e, Team C ,,5,
2024/06/27, Team D ,Team C,,4,Away Win
12-03-2024,TEAM B, Team E ,5,3,HOME WIN
2024/12/28,TEAM A,team d,3,1,HOME WIN
2024-04-28,Team C, Team E ,3,Two,Away Win
15-07-2024,Team D,Team C,5,0,Home Win
30-03-2024,Team E, Team C ,5,Three,Home Win
08-09-2024,TEAM D,team b,4,1,home win
2024-10-25,Team B,team e,4,1,Home Win
06-02-2024,team a, Team B ,2,4,AWAY WIN
2024-10-13,Team B, Team E ,3,2,HOME WIN
01-03-2024,team d,Team E,4,Three,Home Win
2024/07/18,TEAM E,Team C,,2,Draw
2024/07/23,Team B,Team C,Two,4,Draw
03-08-2024,team e,TEAM D,2,0,home win
30-04-2024,Team A,Team B,5,5,Draw
2024-09-02,TEAM C,Team A,4,0,HOME WIN
2024-06-04,Team A,Team E,1,3,away win
09-10-2024,Team A, Team B ,3,5,Away Win
2024/03/01,TEAM D,TEAM B,3,0,home win
2024-01-06, Team B ,Team C,0,0,DRAW
2024-05-24,TEAM A,TEAM B,0,Three,Away Win
2024/03/03,Team E,Team B,1,3,AWAY WIN
31-12-2024,TEAM C,TEAM B,5,1,home win
2024/07/29, Team B ,TEAM C,4,0,home win
2024-04-17,TEAM A,team b,4,5,AWAY WIN
2024-09-12,TEAM A,TEAM B,5,0,Home Win
10-01-2024, Team E , Team D ,0,Three,
04-12-2024,Team A,TEAM B,1,4,Away Win
15-01-2024, Team A , Team C ,2,4,Away Win
25-08-2024,TEAM A,team e,5,2,HOME WIN
15-12-2024,Team D,team e,1,0,home win
04-07-2024,TEAM E,Team C,3,,Draw
2024-08-24, Team A ,Team C,2,1,home win
2024-07-28,Team D,TEAM A,3,4,Away Win
2024-09-10,team e,team c,3,2,home win
23-10-2024,Team B,team a,5,,
2024/01/23,team a,TEAM C,0,2,AWAY WIN
2024/06/15,TEAM A, Team E ,0,1,Away Win
20-06-2024,TEAM A, Team D ,1,,Draw
2024-01-14,team c,TEAM A,0,1,AWAY WIN
17-03-2024,Team E,Team C,3,0,HOME WIN
06-11-2024, Team B ,TEAM D,0,4,Away Win
2024-07-04, Team C ,TEAM B,2,2,Draw
2024-09-15,TEAM A, Team B ,3,2,HOME WIN
05-05-2024,team e,TEAM B,3,1,HOME WIN
21-10-2024,team c,team e,0,4,Away Win
2024/08/28,Team D,team a,3,4,AWAY WIN
2024/09/20, Team A , Team D ,,0,Away Win
21-06-2024,Team C,Team B,4,2,Home Win
28-05-2024,team a,team c,3,5,away win
28-11-2024, Team E ,TEAM A,0,2,AWAY WIN
01-06-2024,TEAM D,Team B,4,0,Home Win
2024/01/22,team e, Team D ,3,1,Home Win
2024-03-25,TEAM E,TEAM C,4,2,home win
